,RT,ART_FT,ART_FClustering,ART_WT,ART_WClustering,ART_TFC,ART_TFClustering,ART_AutoISP_1p,ART_ISP_hs,ART_AutoISP,ART_AutoISP_C,ART_AutoISP_MC,ART_AutoISP2,ART_AutoISP2_C,ART_AutoISP2_MC,
0,12,10,10,33,33,33,10,10,10,10,10,10,10,10,10,
1,16,5,5,9,9,9,9,5,5,5,5,5,9,5,5,
2,172,25,55,25,25,25,20,25,25,25,25,25,25,25,25,
3,79,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
4,32,19,47,19,76,47,19,19,19,19,19,20,19,19,19,
5,2,2,2,38,19,2,2,2,19,20,19,19,38,38,38,
6,57,9,9,9,9,9,18,1,1,1,1,1,1,1,1,
7,47,15,15,9,15,15,15,15,9,15,15,15,15,15,15,
8,177,15,65,15,92,15,63,15,3,15,15,15,15,15,15,
9,68,34,34,45,34,28,34,10,10,34,28,28,34,34,34,
,66.2,14.1,24.9,20.9,31.9,19.0,19.7,10.9,10.8,15.1,14.4,14.5,17.3,16.9,16.9,
