,RT,ART_FT,ART_FClustering,ART_WT,ART_WClustering,ART_TFC,ART_TFClustering,ART_AutoISP_1p,ART_ISP_hs,ART_AutoISP,ART_AutoISP_C,ART_AutoISP_MC,ART_AutoISP2,ART_AutoISP2_C,ART_AutoISP2_MC,
0,1085,2238,2066,6430,6515,6452,2077,2164,852,2092,2115,2131,2108,2108,2236,
1,1099,906,932,1668,1730,1667,1714,952,343,930,959,956,1691,959,967,
2,12185,4636,10400,4635,4727,4647,3791,4817,1803,4732,4832,4828,4709,4840,4869,
3,5654,1301,1295,1291,1345,1310,1333,1382,499,1333,1339,1372,1316,1371,1345,
4,2288,3558,8793,3533,14518,8789,3635,3701,1395,3612,3674,3882,3564,3713,3716,
5,140,379,361,7369,3647,366,372,375,1399,3823,3700,3719,7245,7495,7591,
6,4412,1796,1722,1699,1761,1733,3648,196,78,191,195,196,189,198,198,
7,3799,2912,2785,1686,2855,2810,2866,2903,721,2874,2921,2920,2845,2928,2947,
8,13962,2845,12295,2772,17589,2784,11957,2890,217,2830,2894,2881,2825,2909,2955,
9,5391,6600,6372,8615,6534,5264,6521,1913,753,6497,5449,5433,6468,6663,6712,
,5001.5,2717.1,4702.1,3969.8,6122.1,3582.2,3791.4,2129.3,806.0,2891.4,2807.8,2831.8,3296.0,3318.4,3353.6,
