GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,default,Order,14.05,266.95,8.14,23.85,2.2,58.8,7.95,21.05,0.35,12.65
MatchingEngine,default,Broker,17.7,202.3,3.5,14.5,3.95,44.05,3.7,17.29,0.5,11.5
MatchingEngine,default,OrderBook,53.4,295.6,6.95,23.05,9.85,70.15,8.1,25.9,1.95,17.04
MatchingEngine,default,Shareholder,36.84,224.15,5.55,16.45,6.65,48.35,5.55,17.45,0.5,11.5
MatchingEngine,default,WaveletTransform,87,0,2,0,13,0,3,0,2,0
MatchingEngine,default,TrisectionFrequencyConversion,117,0,6,0,15,0,5,0,2,0
MatchingEngine,default,MatchingEngine,16.54,405.45,12.55,53.45,2.75,90.25,11.5,32.5,0,11
MatchingEngine,default,ART_WT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Trade,13.8,95.2,0.55,1.45,2.65,22.35,0.95,4.05,0.45,3.55
MatchingEngine,default,Environment,1.1,168.9,0.55,11.45,0.5,38.5,0.55,16.45,0,11
MatchingEngine,default,FrequencyTransform,108,0,8,0,24,0,8,0,4,0
MatchingEngine,default,ART_TFC,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,ART_FT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Distance,34,0,2,0,5,0,3,0,2,0
