GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,default,Order,8.45,272.54,7.1,24.9,1.1,59.9,7.05,21.95,0.05,12.95
MatchingEngine,default,Broker,10.5,209.5,3.55,14.45,2.34,45.65,3.6,17.4,0.1,11.9
MatchingEngine,default,OrderBook,51.5,297.5,6.7,23.3,9.6,70.4,8.1,25.9,1.9,17.1
MatchingEngine,default,Shareholder,32.05,228.95,5.5,16.5,5.25,49.75,5.5,17.5,0.1,11.9
MatchingEngine,default,WaveletTransform,87,0,2,0,13,0,3,0,2,0
MatchingEngine,default,TrisectionFrequencyConversion,117,0,6,0,15,0,5,0,2,0
MatchingEngine,default,MatchingEngine,7.9,414.1,11.15,54.85,1.04,91.95,10.35,33.65,0,11
MatchingEngine,default,ART_WT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Trade,4.65,104.35,0.55,1.45,0.5,24.5,0.65,4.35,0.1,3.9
MatchingEngine,default,Environment,2.6,167.4,1.3,10.7,1.3,37.7,1.3,15.7,0,11
MatchingEngine,default,FrequencyTransform,108,0,8,0,24,0,8,0,4,0
MatchingEngine,default,ART_TFC,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,ART_FT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Distance,34,0,2,0,5,0,3,0,2,0
