GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,default,Order,64,169,16,16,12,37,15,14,4,9
MatchingEngine,default,Trade,97,0,2,0,22,0,5,0,4,0
MatchingEngine,default,RT,10,0,0,0,2,0,2,0,2,0
MatchingEngine,default,Broker,90,86,10,8,17,20,11,10,4,8
MatchingEngine,default,ART_ISP,42,0,4,0,10,0,4,0,2,0
MatchingEngine,default,OrderBook,93.5,191.5,13,17,19,45,14,20,3.5,15.5
MatchingEngine,default,Shareholder,109,108,12,10,21,23,12,11,4,8
MatchingEngine,default,SelectionMethod,59,0,6,0,11,0,6,0,3,0
MatchingEngine,default,Environment,0,130,0,12,0,29,0,17,0,11
MatchingEngine,default,MatchingEngine,90.5,287.5,25.5,40.5,16.5,65.5,20.5,23.5,0,11
