GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,default,Order,6,275,9,23,0,61,9,20,0,13
MatchingEngine,default,Broker,9,211,4,14,2,46,4,17,0,12
MatchingEngine,default,OrderBook,48,301,8,22,7,73,9,25,1,18
MatchingEngine,default,Shareholder,38,223,6,16,6,49,6,17,0,12
MatchingEngine,default,WaveletTransform,87,0,2,0,13,0,3,0,2,0
MatchingEngine,default,TrisectionFrequencyConversion,117,0,6,0,15,0,5,0,2,0
MatchingEngine,default,MatchingEngine,9,413,9,57,1,92,9,35,0,11
MatchingEngine,default,ART_WT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Trade,20,89,1,1,2,23,2,3,1,3
MatchingEngine,default,Environment,4,166,2,10,2,37,2,15,0,11
MatchingEngine,default,FrequencyTransform,108,0,8,0,24,0,8,0,4,0
MatchingEngine,default,ART_TFC,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,ART_FT,99,0,10,0,23,0,10,0,5,0
MatchingEngine,default,Distance,34,0,2,0,5,0,3,0,2,0
